Position	Name + ID	Name	ID	Roster Position	Salary	Game Info	TeamAbbrev	AvgPointsPerGame
SP	Cole Ragans (43505206)	Cole Ragans	43505206	P	8300	KC@NYM 07/08/2026 07:10PM ET	KC	13.19
SP	Kris Bubic (43505207)	Kris Bubic	43505207	P	8300	KC@NYM 07/08/2026 07:10PM ET	KC	15.94
SP	Tylor Megill (43505208)	Tylor Megill	43505208	P	8200	KC@NYM 07/08/2026 07:10PM ET	NYM	0
RP	Clay Holmes (43505209)	Clay Holmes	43505209	P	8200	KC@NYM 07/08/2026 07:10PM ET	NYM	17.9
SP	Walbert Urena (43504791)	Walbert Urena	43504791	P	8100	LAA@TEX 07/08/2026 08:05PM ET	LAA	14.2
SP	Jose Soriano (43505210)	Jose Soriano	43505210	P	8100	LAA@TEX 07/08/2026 08:05PM ET	LAA	17.60
SP	Reid Detmers (43505211)	Reid Detmers	43505211	P	8100	LAA@TEX 07/08/2026 08:05PM ET	LAA	17.27
SP	Emmet Sheehan (43505212)	Emmet Sheehan	43505212	P	8000	COL@LAD 07/08/2026 10:10PM ET	LAD	13.47
SP	Michael Soroka (43505213)	Michael Soroka	43505213	P	8000	ARI@SD 07/08/2026 10:10PM ET	ARI	17.47
SP	Eduardo Rodriguez (43505214)	Eduardo Rodriguez	43505214	P	8000	ARI@SD 07/08/2026 10:10PM ET	ARI	16.11
SP	Zebby Matthews (43505217)	Zebby Matthews	43505217	P	7900	CLE@MIN 07/08/2026 07:40PM ET	MIN	15.14
SP	Michael King (43504792)	Michael King	43504792	P	7900	ARI@SD 07/08/2026 10:10PM ET	SD	15.00
SP	Joe Musgrove (43505215)	Joe Musgrove	43505215	P	7900	ARI@SD 07/08/2026 10:10PM ET	SD	0
SP	Walker Buehler (43505216)	Walker Buehler	43505216	P	7900	ARI@SD 07/08/2026 10:10PM ET	SD	11.26
SP	Jake Bennett (43504793)	Jake Bennett	43504793	P	7700	BOS@CWS 07/08/2026 07:40PM ET	BOS	16.13
RP	Joey Cantillo (43505218)	Joey Cantillo	43505218	P	7700	CLE@MIN 07/08/2026 07:40PM ET	CLE	14.47
SP	Tanner Bibee (43505219)	Tanner Bibee	43505219	P	7700	CLE@MIN 07/08/2026 07:40PM ET	CLE	12.92
SP	Nick Lodolo (43505220)	Nick Lodolo	43505220	P	7500	PHI@CIN 07/08/2026 07:10PM ET	CIN	10.78
SP	Rhett Lowder (43505221)	Rhett Lowder	43505221	P	7500	PHI@CIN 07/08/2026 07:10PM ET	CIN	9.62
SP	Aaron Nola (43505222)	Aaron Nola	43505222	P	7500	PHI@CIN 07/08/2026 07:10PM ET	PHI	11.44
SP	Andrew Abbott (43505223)	Andrew Abbott	43505223	P	7500	PHI@CIN 07/08/2026 07:10PM ET	CIN	12.56
SP	Sean Burke (43505228)	Sean Burke	43505228	P	7500	BOS@CWS 07/08/2026 07:40PM ET	CWS	16.69
RP	David Sandlin (43505229)	David Sandlin	43505229	P	7500	BOS@CWS 07/08/2026 07:40PM ET	CWS	12.62
SP	Robert Gasser (43505224)	Robert Gasser	43505224	P	7500	MIL@STL 07/08/2026 07:45PM ET	MIL	14.06
SP	Brandon Sproat (43505225)	Brandon Sproat	43505225	P	7500	MIL@STL 07/08/2026 07:45PM ET	MIL	11.73
RP	Shane Drohan (43505226)	Shane Drohan	43505226	P	7500	MIL@STL 07/08/2026 07:45PM ET	MIL	10.62
SP	Chad Patrick (43505227)	Chad Patrick	43505227	P	7500	MIL@STL 07/08/2026 07:45PM ET	MIL	7.11
SP	Andre Pallante (43504794)	Andre Pallante	43504794	P	7400	MIL@STL 07/08/2026 07:45PM ET	STL	14.23
SP	Dustin May (43505230)	Dustin May	43505230	P	7400	MIL@STL 07/08/2026 07:45PM ET	STL	13.86
SP	Michael McGreevy (43505231)	Michael McGreevy	43505231	P	7400	MIL@STL 07/08/2026 07:45PM ET	STL	12.76
RP	Jacob Latz (43505235)	Jacob Latz	43505235	P	7300	LAA@TEX 07/08/2026 08:05PM ET	TEX	4.76
SP	Jack Leiter (43505236)	Jack Leiter	43505236	P	7300	LAA@TEX 07/08/2026 08:05PM ET	TEX	12.71
SP	Michael Wacha (43505232)	Michael Wacha	43505232	P	7300	KC@NYM 07/08/2026 07:10PM ET	KC	16.1
SP	Noah Cameron (43505233)	Noah Cameron	43505233	P	7300	KC@NYM 07/08/2026 07:10PM ET	KC	12.41
RP	Seth Lugo (43505234)	Seth Lugo	43505234	P	7300	KC@NYM 07/08/2026 07:10PM ET	KC	11.61
SP	Christian Scott (43504795)	Christian Scott	43504795	P	7200	KC@NYM 07/08/2026 07:10PM ET	NYM	14.33
SP	Freddy Peralta (43505237)	Freddy Peralta	43505237	P	7200	KC@NYM 07/08/2026 07:10PM ET	NYM	13.34
SP	Grayson Rodriguez (43505238)	Grayson Rodriguez	43505238	P	7100	LAA@TEX 07/08/2026 08:05PM ET	LAA	6.49
SP	Yusei Kikuchi (43505239)	Yusei Kikuchi	43505239	P	7100	LAA@TEX 07/08/2026 08:05PM ET	LAA	9.39
SP	Roki Sasaki (43504796)	Roki Sasaki	43504796	P	7000	COL@LAD 07/08/2026 10:10PM ET	LAD	11.65
RP	Eric Lauer (43505241)	Eric Lauer	43505241	P	7000	COL@LAD 07/08/2026 10:10PM ET	LAD	9.37
SP	Ryne Nelson (43505240)	Ryne Nelson	43505240	P	7000	ARI@SD 07/08/2026 10:10PM ET	ARI	11.11
SP	Connor Prielipp (43504797)	Connor Prielipp	43504797	P	6900	CLE@MIN 07/08/2026 07:40PM ET	MIN	12.90
SP	Bailey Ober (43505242)	Bailey Ober	43505242	P	6900	CLE@MIN 07/08/2026 07:40PM ET	MIN	12.77
RP	Matt Bowman (43505248)	Matt Bowman	43505248	P	6900	CLE@MIN 07/08/2026 07:40PM ET	MIN	0
RP	Kendry Rojas (43505249)	Kendry Rojas	43505249	P	6900	CLE@MIN 07/08/2026 07:40PM ET	MIN	9.19
SP	Hunter Dobbins (43505243)	Hunter Dobbins	43505243	P	6900	MIL@STL 07/08/2026 07:45PM ET	STL	12.33
RP	Matthew Liberatore (43505245)	Matthew Liberatore	43505245	P	6900	MIL@STL 07/08/2026 07:45PM ET	STL	10.58
RP	Kyle Leahy (43505246)	Kyle Leahy	43505246	P	6900	MIL@STL 07/08/2026 07:45PM ET	STL	12.72
SP	Randy Vasquez (43505244)	Randy Vasquez	43505244	P	6900	ARI@SD 07/08/2026 10:10PM ET	SD	9.86
SP	JP Sears (43505247)	JP Sears	43505247	P	6900	ARI@SD 07/08/2026 10:10PM ET	SD	13.97
SP	Tanner Houck (43505250)	Tanner Houck	43505250	P	6700	BOS@CWS 07/08/2026 07:40PM ET	BOS	0
SP	Patrick Sandoval (43505251)	Patrick Sandoval	43505251	P	6700	BOS@CWS 07/08/2026 07:40PM ET	BOS	0
SP	Kutter Crawford (43505252)	Kutter Crawford	43505252	P	6700	BOS@CWS 07/08/2026 07:40PM ET	BOS	0
SP	Slade Cecconi (43504798)	Slade Cecconi	43504798	P	6700	CLE@MIN 07/08/2026 07:40PM ET	CLE	11.16
SP	Logan Allen (43505253)	Logan Allen	43505253	P	6700	CLE@MIN 07/08/2026 07:40PM ET	CLE	19.4
1B/OF	Shohei Ohtani (43504803)	Shohei Ohtani	43504803	1B/OF	6700	COL@LAD 07/08/2026 10:10PM ET	LAD	9.75
SP	Alan Rangel (43504799)	Alan Rangel	43504799	P	6500	PHI@CIN 07/08/2026 07:10PM ET	PHI	11.2
SP	Brandon Williamson (43505257)	Brandon Williamson	43505257	P	6500	PHI@CIN 07/08/2026 07:10PM ET	CIN	6.93
RP	Jose Franco (43505258)	Jose Franco	43505258	P	6500	PHI@CIN 07/08/2026 07:10PM ET	CIN	2.7
SP	Connor Phillips (43505259)	Connor Phillips	43505259	P	6500	PHI@CIN 07/08/2026 07:10PM ET	CIN	2.28
SP	Chase Petty (43505260)	Chase Petty	43505260	P	6500	PHI@CIN 07/08/2026 07:10PM ET	CIN	3.22
SP	Brady Singer (43505261)	Brady Singer	43505261	P	6500	PHI@CIN 07/08/2026 07:10PM ET	CIN	9.85
SP	Tony Santillan (43505262)	Tony Santillan	43505262	P	6500	PHI@CIN 07/08/2026 07:10PM ET	CIN	2.00
RP	Seth Johnson (43505263)	Seth Johnson	43505263	P	6500	PHI@CIN 07/08/2026 07:10PM ET	PHI	2.5
SP	Andrew Painter (43505266)	Andrew Painter	43505266	P	6500	PHI@CIN 07/08/2026 07:10PM ET	PHI	6.30
RP	Anthony Kay (43505254)	Anthony Kay	43505254	P	6500	BOS@CWS 07/08/2026 07:40PM ET	CWS	10.32
RP	Shane Smith (43505255)	Shane Smith	43505255	P	6500	BOS@CWS 07/08/2026 07:40PM ET	CWS	2.52
SP	Noah Schultz (43505256)	Noah Schultz	43505256	P	6500	BOS@CWS 07/08/2026 07:40PM ET	CWS	9.42
SP	Jonathan Cannon (43505265)	Jonathan Cannon	43505265	P	6500	BOS@CWS 07/08/2026 07:40PM ET	CWS	-3.8
SP	Quinn Priester (43505264)	Quinn Priester	43505264	P	6500	MIL@STL 07/08/2026 07:45PM ET	MIL	0
OF	Byron Buxton (43504805)	Byron Buxton	43504805	OF	6400	CLE@MIN 07/08/2026 07:40PM ET	MIN	10.05
SP	Kumar Rocker (43505268)	Kumar Rocker	43505268	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	11.93
RP	Cody Bradford (43505269)	Cody Bradford	43505269	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	0
SP	Leandro Lopez (43505270)	Leandro Lopez	43505270	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	0
SP	Emiliano Teodo (43505271)	Emiliano Teodo	43505271	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	0
SP	Jordan Montgomery (43505272)	Jordan Montgomery	43505272	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	0
SP	David Davalillo (43505273)	David Davalillo	43505273	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	0
RP	Winston Santos (43505274)	Winston Santos	43505274	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	0.7
SP	Jose Corniell (43505275)	Jose Corniell	43505275	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	-1.9
RP	Cal Quantrill (43505276)	Cal Quantrill	43505276	P	6300	LAA@TEX 07/08/2026 08:05PM ET	TEX	5.31
SP	Stephen Kolek (43504800)	Stephen Kolek	43504800	P	6300	KC@NYM 07/08/2026 07:10PM ET	KC	11.51
SS	Bobby Witt Jr. (43504806)	Bobby Witt Jr.	43504806	SS	6300	KC@NYM 07/08/2026 07:10PM ET	KC	9.62
RP	Ryan Bergert (43505267)	Ryan Bergert	43505267	P	6300	KC@NYM 07/08/2026 07:10PM ET	KC	0
1B	Freddie Freeman (43504807)	Freddie Freeman	43504807	1B	6200	COL@LAD 07/08/2026 10:10PM ET	LAD	8.54
RP	Justin Hagenman (43505277)	Justin Hagenman	43505277	P	6200	KC@NYM 07/08/2026 07:10PM ET	NYM	0
SP	Sean Manaea (43505278)	Sean Manaea	43505278	P	6200	KC@NYM 07/08/2026 07:10PM ET	NYM	8.13
SP	Zach Thornton (43505279)	Zach Thornton	43505279	P	6200	KC@NYM 07/08/2026 07:10PM ET	NYM	13.02
SP	Jonah Tong (43505280)	Jonah Tong	43505280	P	6200	KC@NYM 07/08/2026 07:10PM ET	NYM	7.83
SP	Kodai Senga (43505281)	Kodai Senga	43505281	P	6200	KC@NYM 07/08/2026 07:10PM ET	NYM	5.96
SP	Tobias Myers (43505282)	Tobias Myers	43505282	P	6200	KC@NYM 07/08/2026 07:10PM ET	NYM	2.74
OF	Kyle Schwarber (43504808)	Kyle Schwarber	43504808	OF	6100	PHI@CIN 07/08/2026 07:10PM ET	PHI	9.66
SP	River Ryan (43505283)	River Ryan	43505283	P	6000	COL@LAD 07/08/2026 10:10PM ET	LAD	0
SP	Gavin Stone (43505284)	Gavin Stone	43505284	P	6000	COL@LAD 07/08/2026 10:10PM ET	LAD	0
SP	Bobby Miller (43505285)	Bobby Miller	43505285	P	6000	COL@LAD 07/08/2026 10:10PM ET	LAD	0
SP	Landon Knack (43505286)	Landon Knack	43505286	P	6000	COL@LAD 07/08/2026 10:10PM ET	LAD	0
RP	Chayce McDermott (43505287)	Chayce McDermott	43505287	P	6000	COL@LAD 07/08/2026 10:10PM ET	LAD	0.72
SP	Jose Cabrera (43504801)	Jose Cabrera	43504801	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	7.6
SP	Dylan Ray (43505288)	Dylan Ray	43505288	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	0
RP	Kohl Drake (43505289)	Kohl Drake	43505289	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	0
RP	Thomas Hatch (43505290)	Thomas Hatch	43505290	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	0
SP	Cristian Mena (43505291)	Cristian Mena	43505291	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	0
SP	Zac Gallen (43505292)	Zac Gallen	43505292	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	6.44
SP	Mitch Bratt (43505293)	Mitch Bratt	43505293	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	8.35
SP	Merrill Kelly (43505294)	Merrill Kelly	43505294	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	9.02
SP	Brandon Pfaadt (43505295)	Brandon Pfaadt	43505295	P	6000	ARI@SD 07/08/2026 10:10PM ET	ARI	6.53
OF	Juan Soto (43504809)	Juan Soto	43504809	OF	6000	KC@NYM 07/08/2026 07:10PM ET	NYM	9.82
RP	Yoendrys Gomez (43505302)	Yoendrys Gomez	43505302	P	5900	CLE@MIN 07/08/2026 07:40PM ET	MIN	2.72
RP	Marco Raya (43505303)	Marco Raya	43505303	P	5900	CLE@MIN 07/08/2026 07:40PM ET	MIN	4.23
SP	David Festa (43505304)	David Festa	43505304	P	5900	CLE@MIN 07/08/2026 07:40PM ET	MIN	0
RP	Mike Paredes (43505305)	Mike Paredes	43505305	P	5900	CLE@MIN 07/08/2026 07:40PM ET	MIN	6
RP	Jhony Brito (43505296)	Jhony Brito	43505296	P	5900	ARI@SD 07/08/2026 10:10PM ET	SD	5.75
SP	German Marquez (43505297)	German Marquez	43505297	P	5900	ARI@SD 07/08/2026 10:10PM ET	SD	9.22
SP	Kyle Hart (43505298)	Kyle Hart	43505298	P	5900	ARI@SD 07/08/2026 10:10PM ET	SD	3.24
SP	Matt Waldron (43505299)	Matt Waldron	43505299	P	5900	ARI@SD 07/08/2026 10:10PM ET	SD	5.22
SP	Griffin Canning (43505300)	Griffin Canning	43505300	P	5900	ARI@SD 07/08/2026 10:10PM ET	SD	7.70
SP	Lucas Giolito (43505301)	Lucas Giolito	43505301	P	5900	ARI@SD 07/08/2026 10:10PM ET	SD	6.16
SS	Elly De La Cruz (43504810)	Elly De La Cruz	43504810	SS	5800	PHI@CIN 07/08/2026 07:10PM ET	CIN	9.24
SP	Brayan Bello (43505306)	Brayan Bello	43505306	P	5700	BOS@CWS 07/08/2026 07:40PM ET	BOS	7.12
RP	Eduardo Rivera (43505307)	Eduardo Rivera	43505307	P	5700	BOS@CWS 07/08/2026 07:40PM ET	BOS	12.9
SP	Johan Oviedo (43505308)	Johan Oviedo	43505308	P	5700	BOS@CWS 07/08/2026 07:40PM ET	BOS	1.45
RP	Daniel Espino (43505309)	Daniel Espino	43505309	P	5700	CLE@MIN 07/08/2026 07:40PM ET	CLE	3.69
SP	Joey Lucchesi (43505310)	Joey Lucchesi	43505310	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	-0.58
RP	Mitch Farris (43505311)	Mitch Farris	43505311	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	5.47
RP	Ryan Johnson (43505312)	Ryan Johnson	43505312	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	5.59
SP	Caden Dana (43505313)	Caden Dana	43505313	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	0
RP	Sam Aldegheri (43505314)	Sam Aldegheri	43505314	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	7.15
SP	George Klassen (43505315)	George Klassen	43505315	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	0.15
SP	Jack Kochanowicz (43505316)	Jack Kochanowicz	43505316	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	7.26
SP	Chase Silseth (43505317)	Chase Silseth	43505317	P	5600	LAA@TEX 07/08/2026 08:05PM ET	LAA	2.92
1B	Bryce Harper (43504811)	Bryce Harper	43504811	1B	5600	PHI@CIN 07/08/2026 07:10PM ET	PHI	8.75
OF	Mike Trout (43505041)	Mike Trout	43505041	OF	5500	LAA@TEX 07/08/2026 08:05PM ET	LAA	9.24
1B	Willson Contreras (43504812)	Willson Contreras	43504812	1B	5500	BOS@CWS 07/08/2026 07:40PM ET	BOS	8.90
SP	Erick Fedde (43505318)	Erick Fedde	43505318	P	5500	BOS@CWS 07/08/2026 07:40PM ET	CWS	9.09
RP	Trevor Richards (43505319)	Trevor Richards	43505319	P	5500	BOS@CWS 07/08/2026 07:40PM ET	CWS	3.96
RP	Grant Taylor (43505320)	Grant Taylor	43505320	P	5500	BOS@CWS 07/08/2026 07:40PM ET	CWS	5.53
RP	Mike Vasil (43505321)	Mike Vasil	43505321	P	5500	BOS@CWS 07/08/2026 07:40PM ET	CWS	0
RP	Joe Rock (43505322)	Joe Rock	43505322	P	5500	BOS@CWS 07/08/2026 07:40PM ET	CWS	6.21
RP	Osvaldo Bido (43505323)	Osvaldo Bido	43505323	P	5500	BOS@CWS 07/08/2026 07:40PM ET	CWS	2.6
SP	Ryan Feltner (43504802)	Ryan Feltner	43504802	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	11.08
RP	Zach Agnos (43505324)	Zach Agnos	43505324	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	2.67
SP	Tomoyuki Sugano (43505325)	Tomoyuki Sugano	43505325	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	9.71
SP	Chase Dollander (43505328)	Chase Dollander	43505328	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	13.1
SP	Antonio Senzatela (43505329)	Antonio Senzatela	43505329	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	5.5
SP	Pierson Ohl (43505330)	Pierson Ohl	43505330	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	0
SP	Sean Sullivan (43505331)	Sean Sullivan	43505331	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	1.89
SP	Kyle Freeland (43505332)	Kyle Freeland	43505332	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	6.72
SP	Michael Lorenzen (43505333)	Michael Lorenzen	43505333	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	6.28
RP	Tanner Gordon (43505334)	Tanner Gordon	43505334	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	7.24
RP	Jose Quintana (43505335)	Jose Quintana	43505335	P	5500	COL@LAD 07/08/2026 10:10PM ET	COL	6.05
SP	Coleman Crow (43505326)	Coleman Crow	43505326	P	5500	MIL@STL 07/08/2026 07:45PM ET	MIL	4.64
RP	DL Hall (43505327)	DL Hall	43505327	P	5500	MIL@STL 07/08/2026 07:45PM ET	MIL	4.02
C	Hunter Goodman (43504813)	Hunter Goodman	43504813	C	5400	COL@LAD 07/08/2026 10:10PM ET	COL	9.05
OF	Andy Pages (43504814)	Andy Pages	43504814	OF	5400	COL@LAD 07/08/2026 10:10PM ET	LAD	8.60
SP	Tekoah Roby (43505336)	Tekoah Roby	43505336	P	5400	MIL@STL 07/08/2026 07:45PM ET	STL	0
SP	Tink Hence (43505337)	Tink Hence	43505337	P	5400	MIL@STL 07/08/2026 07:45PM ET	STL	0
SP	Brycen Mautz (43505338)	Brycen Mautz	43505338	P	5400	MIL@STL 07/08/2026 07:45PM ET	STL	3.15
SP	Richard Fitts (43505339)	Richard Fitts	43505339	P	5400	MIL@STL 07/08/2026 07:45PM ET	STL	0
3B	Jose Ramirez (43505042)	Jose Ramirez	43505042	3B	5300	CLE@MIN 07/08/2026 07:40PM ET	CLE	9.06
OF	Jackson Chourio (43504815)	Jackson Chourio	43504815	OF	5300	MIL@STL 07/08/2026 07:45PM ET	MIL	9.65
RP	Daniel Lynch IV (43505340)	Daniel Lynch IV	43505340	P	5300	KC@NYM 07/08/2026 07:10PM ET	KC	2.98
RP	Mitch Spence (43505341)	Mitch Spence	43505341	P	5300	KC@NYM 07/08/2026 07:10PM ET	KC	-9.27
RP	Luinder Avila (43505342)	Luinder Avila	43505342	P	5300	KC@NYM 07/08/2026 07:10PM ET	KC	6.97
RP	Mason Black (43505343)	Mason Black	43505343	P	5300	KC@NYM 07/08/2026 07:10PM ET	KC	3.10
3B	Max Muncy (43504816)	Max Muncy	43504816	3B	5200	COL@LAD 07/08/2026 10:10PM ET	LAD	7.56
2B	Brice Turang (43504817)	Brice Turang	43504817	2B	5200	MIL@STL 07/08/2026 07:45PM ET	MIL	9.45
SS	Trea Turner (43504818)	Trea Turner	43504818	SS	5100	PHI@CIN 07/08/2026 07:10PM ET	PHI	7.64
3B	Miguel Vargas (43504819)	Miguel Vargas	43504819	3B	5100	BOS@CWS 07/08/2026 07:40PM ET	CWS	9.29
RP	Moises Chace (43505344)	Moises Chace	43505344	P	5000	PHI@CIN 07/08/2026 07:10PM ET	PHI	0
SP	Lenny Torres (43505345)	Lenny Torres	43505345	P	5000	PHI@CIN 07/08/2026 07:10PM ET	PHI	0
SP	Alex McFarlane (43505346)	Alex McFarlane	43505346	P	5000	PHI@CIN 07/08/2026 07:10PM ET	PHI	0
SS	Mookie Betts (43504820)	Mookie Betts	43504820	SS	5000	COL@LAD 07/08/2026 10:10PM ET	LAD	7.59
OF	Jordan Walker (43504821)	Jordan Walker	43504821	OF	5000	MIL@STL 07/08/2026 07:45PM ET	STL	9.69
OF	Luis Robert Jr. (43505043)	Luis Robert Jr.	43505043	OF	5000	KC@NYM 07/08/2026 07:10PM ET	NYM	6.33
OF	Mickey Moniak (43504822)	Mickey Moniak	43504822	OF	4900	COL@LAD 07/08/2026 10:10PM ET	COL	8.21
OF	Fernando Tatis Jr. (43504823)	Fernando Tatis Jr.	43504823	OF	4900	ARI@SD 07/08/2026 10:10PM ET	SD	7.8
2B	Ketel Marte (43504824)	Ketel Marte	43504824	2B	4900	ARI@SD 07/08/2026 10:10PM ET	ARI	8.52
1B/3B	Sal Stewart (43504825)	Sal Stewart	43504825	1B/3B	4800	PHI@CIN 07/08/2026 07:10PM ET	CIN	8.7
1B	Munetaka Murakami (43505044)	Munetaka Murakami	43505044	1B	4800	BOS@CWS 07/08/2026 07:40PM ET	CWS	9.74
OF	Corbin Carroll (43504828)	Corbin Carroll	43504828	OF	4800	ARI@SD 07/08/2026 10:10PM ET	ARI	8.73
C	Carter Jensen (43504827)	Carter Jensen	43504827	C	4800	KC@NYM 07/08/2026 07:10PM ET	KC	6.95
SS	Corey Seager (43505046)	Corey Seager	43505046	SS	4700	LAA@TEX 07/08/2026 08:05PM ET	TEX	6.96
2B	Kody Clemens (43504831)	Kody Clemens	43504831	2B	4700	CLE@MIN 07/08/2026 07:40PM ET	MIN	7.86
C	Ryan Jeffers (43505045)	Ryan Jeffers	43505045	C	4700	CLE@MIN 07/08/2026 07:40PM ET	MIN	8.92
OF	Kyle Tucker (43504829)	Kyle Tucker	43504829	OF	4700	COL@LAD 07/08/2026 10:10PM ET	LAD	7.51
